<amplicon ID>	<chr>	<Base position start/CpG start>	<Base position end/CpG end>	<Methylation pattern>	<count>	<raw cpg sites>
APC_138	chr5	112073470	112073544	0-00000000	2	((112073470, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	00-0000000	1	((112073470, 0), (112073479, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	000-000000	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	00000-0000	2	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	000000-000	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000000-00	4	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000000-10	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073538, 1), (112073544, 0))
APC_138	chr5	112073470	112073544	000000000-	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0))
APC_138	chr5	112073470	112073544	0000000000	5278	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000000001	65	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))
APC_138	chr5	112073470	112073544	0000000010	50	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))
APC_138	chr5	112073470	112073544	000000010-	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0))
APC_138	chr5	112073470	112073544	0000000100	74	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000001000	124	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))
APC_138	chr5	112073470	112073544	0000001001	1	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 1))
APC_138	chr5	112073470	112073544	0000010000	58	((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))
