<amplicon ID>	<chr>	<Base position start/CpG start>	<Base position end/CpG end>	<Methylation pattern>	<count>	<raw cpg sites>		SumCounts	SumDiversity
APC_138	chr5	112073470	112073538	000000000-	4	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0))"	1		
APC_138	chr5	112073470	112073544	0-00000000	1	"((112073470, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	00-0000000	1	"((112073470, 0), (112073479, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	00000-0000	3	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	000000-000	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	0000000-00	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	0	3819	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1	94	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	10	78	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	11	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	100	67	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	101	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	1000	150	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1010	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	10000	49	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100000	177	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100001	2	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	100100	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	101000	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	110000	1	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1000000	110	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1010000	50	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1010001	2	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	1100000	2	"((112073470, 0), (112073479, 0), (112073489, 0), (112073502, 1), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	10000000	87	"((112073470, 0), (112073479, 0), (112073489, 1), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	11010000	1	"((112073470, 0), (112073479, 0), (112073489, 1), (112073502, 1), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100000000	179	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100000001	2	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 1))"	1		
APC_138	chr5	112073470	112073544	100000010	2	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100000100	1	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 1), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100001000	4	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 1), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100010000	1	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	100100000	23	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	101000000	1	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	101010000	1	"((112073470, 0), (112073479, 1), (112073489, 0), (112073502, 1), (112073505, 0), (112073513, 1), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1000000000	84	"((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 0), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1000000010	30	"((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1000100010	1	"((112073470, 1), (112073479, 0), (112073489, 0), (112073502, 0), (112073505, 1), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
APC_138	chr5	112073470	112073544	1100000010	1	"((112073470, 1), (112073479, 1), (112073489, 0), (112073502, 0), (112073505, 0), (112073513, 0), (112073516, 0), (112073534, 0), (112073538, 1), (112073544, 0))"	1		
BRCA1_122	chr17	41277382	41277437	00000010-	1	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 1), (41277437, 0))"	1		
BRCA1_122	chr17	41277382	41277445	000-00000	2	"((41277382, 0), (41277390, 0), (41277393, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	00000-000	1	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	0	221	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	1	4	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 1))"	1		
BRCA1_122	chr17	41277382	41277445	10	12	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 1), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	100	2	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 0), (41277429, 1), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	1000	2	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 1), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	1010	1	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 0), (41277401, 0), (41277427, 1), (41277429, 0), (41277437, 1), (41277445, 0))"	1		
BRCA1_122	chr17	41277382	41277445	100000	1	"((41277382, 0), (41277390, 0), (41277393, 0), (41277395, 1), (41277401, 0), (41277427, 0), (41277429, 0), (41277437, 0), (41277445, 0))"	1		
